9	134.6, F	0.99	0.042	
9	90.5, F	0.893	0.083	
9	131.2, F	0.453	0.125	
9	201.9, F	0.791	0.167	
9	99.1, F	0.926	0.209	
9	159.7, F	0.529	0.250	
9	95.0, F	0.324	0.292	
9	227.5, F	0.465	0.334	
9	132.3, F	1.851	0.375	
9	236.0, F	0.308	0.417	
9	183.6, F	0.491	0.459	
9	99.4, F	0.764	0.500	
9	182.0, F	0.997	0.542	
9	155.9, F	0.532	0.584	
9	182.9, F	1.007	0.626	
9	247.4, F	0.975	0.667	
9	74.1, F	0.475	0.709	
9	92.4, F	1.045	0.751	
9	144.4, F	0.482	0.792	
9	175.8, F	1.222	0.834	
9	211.2, F	1.562	0.876	
9	85.6, F	0.991	0.918	
9	41.6, F	0.894	0.959	
9	179.3, F	1.214	1.001	
9	157.8, F	1.278	1.043	
9	118.6, F	0.684	1.084	
9	32.4, F	1.054	1.126	
9	208.9, F	0.303	1.168	
9	185.2, F	1.16	1.210	
9	185.9, F	0.8	1.251	
9	133.6, F	0.203	1.293	
9	93.3, F	0.701	1.335	
9	189.4, F	0.635	1.376	
9	74.0, F	1.237	1.418	
9	112.4, F	0.901	1.460	
9	9.7, F	0.637	1.502	
9	103.8, F	0.957	1.543	
9	181.0, F	0.441	1.585	
9	8.8, F	0.623	1.627	
9	81.1, F	0.9	1.668	
9	65.5, F	0.77	1.710	
9	None	0	1.752	0.040999999999999925
9	97.7, F	0.627	1.793	
9	172.3, F	0.097	1.835	
9	63.3, F	1.127	1.877	
9	30.3, F	0.674	1.919	
9	98.1, F	0.728	1.960	
9	None	0	2.002	0.04200000000000026
9	34.0, F	1.283	2.044	
9	133.3, F	1.348	2.085	
9	81.4, F	0.207	2.127	
9	286.0, F	0.403	2.169	
9	87.3, F	1.047	2.211	
9	92.8, F	0.308	2.252	
9	105.1, F	0.501	2.294	
9	220.6, F	0.258	2.336	
9	23.1, F	0.548	2.377	
9	162.5, F	0.806	2.419	
9	84.5, F	0.438	2.461	
9	278.3, F	0.306	2.502	
9	128.4, F	0.885	2.544	
9	181.9, F	0.826	2.586	
9	130.4, F	0.14	2.628	
9	135.4, F	0.443	2.669	
9	148.8, F	1.049	2.711	
9	209.8, F	0.254	2.753	
9	340.1, F	0.23	2.794	
9	165.8, F	1.055	2.836	
9	117.4, F	0.831	2.878	
9	350.6, F	0.27	2.920	
9	98.6, F	0.234	2.961	
9	104.7, F	0.561	3.003	
9	187.7, F	0.754	3.045	
9	130.0, F	1.577	3.086	
9	265.9, F	0.365	3.128	
9	97.0, F	1.088	3.170	
9	48.4, F	1.148	3.212	
9	115.5, F	0.717	3.253	
9	176.1, F	0.327	3.295	
9	115.8, F	0.634	3.337	
9	63.0, F	1.334	3.378	
9	247.7, F	0.488	3.420	
9	113.4, F	0.562	3.462	
9	346.7, F	0.666	3.503	
9	144.6, F	0.389	3.545	
9	145.8, F	0.375	3.587	
9	24.3, F	0.67	3.629	
9	135.3, F	0.441	3.670	
9	249.4, F	0.653	3.712	
9	122.6, F	0.416	3.754	
9	27.7, F	0.89	3.795	
9	249.9, F	0.554	3.837	
9	96.3, F	0.576	3.879	
9	264.3, F	0.385	3.921	
9	101.7, F	0.497	3.962	
9	258.6, F	0.384	4.004	
9	252.8, F	0.412	4.046	
9	37.6, F	0.968	4.087	
9	235.4, F	0.395	4.129	
9	109.7, F	0.802	4.171	
9	229.5, F	0.337	4.213	
9	216.0, F	0.313	4.254	
9	349.0, F	0.693	4.296	
9	194.2, F	0.421	4.338	
9	118.1, F	0.928	4.379	
9	329.2, F	0.575	4.421	
9	197.2, F	0.606	4.463	
9	335.5, F	0.403	4.505	
9	325.7, F	0.225	4.546	
9	187.7, F	0.877	4.588	
9	90.6, F	0.917	4.630	
9	None	0	4.671	0.041999999999999815
9	161.0, F	0.282	4.713	
9	14.7, F	0.626	4.755	
9	235.7, F	0.807	4.796	
9	151.8, F	0.648	4.838	
9	63.6, F	0.344	4.880	
9	67.3, F	0.335	4.922	
9	263.0, F	0.611	4.963	
9	117.8, F	0.399	5.005	
9	231.7, F	1.013	5.047	
9	64.0, F	0.185	5.088	
9	168.1, F	0.194	5.130	
9	179.4, F	0.459	5.172	
9	199.5, F	0.998	5.214	
9	243.7, F	0.531	5.255	
